zone_id,region
4,us-al
5,us-ak
2,us-az
4,us-ar
2,us-ca
2,us-co
1,us-ct
1,us-de
1,us-dc
4,us-fl
4,us-ga
2,us-hi
3,us-id
3,us-il
3,us-in
3,us-ia
3,us-ks
4,us-ky
4,us-la
5,us-me
1,us-md
5,us-ma
5,us-mi
5,us-mn
4,us-ms
4,us-mo
2,us-mt
3,us-ne
2,us-nv
1,us-nh
1,us-nj
2,us-nm
1,us-ny
1,us-nc
3,us-nd
3,us-oh
3,us-ok
2,us-or
1,us-pa
1,us-ri
1,us-sc
3,us-sd
3,us-tn
2,us-tx
2,us-ut
1,us-vt
1,us-va
2,us-wa
4,us-wv
3,us-wi
2,us-wy
