id2,site_id,identifiant
14367,1,14367
14370,1,14370
14372,1,14372
14373,1,14373
14412,1,14412
14425,1,14425
14534,1,14534
14550,1,14550
14612,1,14612
14621,1,14621
14628,1,14628
14645,1,14645
14645,2,tt0084555
14728,2,tt1146438
14728,5,Q585545
14728,1,14728
14742,1,14742
14746,1,14746
14807,1,14807
14854,1,14854
14864,1,14864
14886,1,14886
15120,1,15120
15138,1,15138
15144,1,15144
15152,2,tt0464913
15152,1,15152
15196,1,15196
15301,1,15301
15379,1,15379
15379,2,tt0087727
15383,1,15383
15392,1,15392
15417,1,15417
15417,2,tt0077523
15588,2,tt1167660
15588,1,15588
15592,1,15592
15596,1,15596
15613,1,15613
15618,1,15618
15677,1,15677
15698,1,15698
15739,1,15739
15764,1,15764
15785,1,15785
15983,1,15983
16082,1,16082
16084,1,16084
16113,1,16113
16121,1,16121
16153,1,16153
16235,1,16235
16235,2,tt0083550
16248,1,16248
16263,1,16263
16270,1,16270
16281,1,16281
16288,1,16288
16297,1,16297
16314,1,16314
16363,2,tt0083642
16363,1,16363
16638,1,16638
16642,1,16642
16769,1,16769
16780,1,16780
16814,1,16814
16820,1,16820
16858,1,16858
16938,5,Q783069
16938,2,tt0071222
16938,1,16938
17006,1,17006
17102,1,17102
17169,1,17169
17258,1,17258
17277,1,17277
17339,1,17339
17360,1,17360
17362,1,17362
17365,1,17365
17381,1,17381
17465,1,17465
17466,1,17466
17496,1,17496
17529,1,17529
17538,1,17538
17538,2,tt0073636
17692,1,17692
17692,2,tt0085750
17796,1,17796
17819,1,17819
18009,2,tt0110329
18009,1,18009
18011,1,18011
18011,2,tt0209095
18097,2,tt0150505
18097,1,18097
18133,1,18133
18169,1,18169
18172,1,18172
18196,1,18196
18197,1,18197
18209,1,18209
18214,1,18214
18282,1,18282
18298,1,18298
18298,2,tt0286009
18331,1,18331
18387,1,18387
18391,1,18391
18395,1,18395
18406,1,18406
18410,1,18410
18419,1,18419
18419,2,tt0295736
18457,1,18457
18457,5,Q805111
18457,2,tt0283957
18477,1,18477
18477,2,tt0089274
18502,1,18502
18628,1,18628
18835,1,18835
18905,1,18905
18988,1,18988
19086,1,19086
19114,1,19114
19123,2,tt0082183
19123,1,19123
19174,1,19174
19174,2,tt0072895
19185,1,19185
19185,2,tt0100258
19204,1,19204
19286,1,19286
19287,1,19287
19287,2,tt0116861
19288,1,19288
19288,2,tt0339294
19345,1,19345
19382,1,19382
19384,1,19384
19494,1,19494
19606,1,19606
19736,1,19736
19761,1,19761
19855,1,19855
19971,1,19971
20220,1,20220
20242,1,20242
20287,1,20287
20416,1,20416
20481,1,20481
20681,1,20681
20701,1,20701
20815,1,20815
20858,1,20858
21219,1,21219
21309,1,21309
21332,1,21332
21352,1,21352
21380,1,21380
21484,1,21484
21512,1,21512
21512,2,tt0094764
21519,1,21519
21519,2,tt0085127
21521,2,tt0092501
21521,1,21521
21629,1,21629
21666,1,21666
21733,2,tt0093015
21733,1,21733
21779,1,21779
21799,1,21799
21873,1,21873
21874,2,tt0082677
21874,1,21874
21949,1,21949
21949,2,tt0069414
22021,1,22021
22021,2,tt0069897
22029,1,22029
22048,1,22048
22048,2,tt0071517
22048,5,Q1440249
22160,1,22160
22183,1,22183
22183,2,tt0058909
22240,1,22240
22311,1,22311
22317,1,22317
22578,2,tt0340086
22578,1,22578
22650,1,22650
22826,1,22826
22832,1,22832
22832,2,tt1186367
22832,5,Q671631
23330,1,23330
23483,2,tt1250777
23483,1,23483
23483,5,Q2201
23587,1,23587
23761,1,23761
23942,1,23942
23943,1,23943
23943,2,tt0084945
24070,2,tt0110538
24070,5,Q1824522
24070,1,24070
24099,1,24099
24100,1,24100
24100,2,tt0192255
24229,1,24229
24248,1,24248
24260,2,tt0080929
24260,5,Q914146
24260,1,24260
24274,1,24274
24583,1,24583
24679,1,24679
24742,1,24742
24750,1,24750
24795,1,24795
24803,2,tt1135503
24803,1,24803
24808,2,tt0086336
24808,1,24808
24825,1,24825
24873,1,24873
24873,5,Q848280
24873,2,tt0089003
24929,1,24929
24929,2,tt0095990
24951,1,24951
25018,1,25018
25095,1,25095
25188,1,25188
25253,1,25253
25468,1,25468
25497,1,25497
25528,1,25528
25553,1,25553
25553,2,tt0062863
25562,1,25562
25566,1,25566
25678,1,25678
25682,1,25682
25684,1,25684
25706,1,25706
25748,1,25748
25748,2,tt0106557
25943,1,25943
26127,1,26127
26156,1,26156
26178,1,26178
26178,2,tt0087981
26185,1,26185
26196,1,26196
26196,2,tt0069890
26263,1,26263
26271,1,26271
26325,2,tt0083170
26325,1,26325
26337,1,26337
26355,1,26355
26444,1,26444
26515,1,26515
26522,1,26522
26626,1,26626
26672,1,26672
26789,1,26789
26978,1,26978
26984,1,26984
27085,1,27085
27214,1,27214
27352,1,27352
27381,1,27381
27418,1,27418
27430,1,27430
27578,1,27578
27578,5,Q206374
27578,2,tt1320253
27591,1,27591
27591,2,tt0076535
27679,1,27679
27738,1,27738
27769,1,27769
27793,2,tt0110647
27793,1,27793
27905,2,tt0081467
27905,1,27905
27958,1,27958
27983,1,27983
28043,1,28043
28043,5,Q2270855
28043,2,tt0057603
28145,1,28145
28176,1,28176
28190,2,tt0043303
28190,1,28190
28190,5,Q1219193
28313,1,28313
28368,1,28368
28370,1,28370
28569,1,28569
28597,1,28597
28597,2,tt0102719
28601,1,28601
28761,1,28761
28762,1,28762
28794,1,28794
28794,2,tt0082966
28881,1,28881
28893,1,28893
29005,1,29005
29154,1,29154
29161,1,29161
29355,1,29355
29748,2,tt0065073
29748,1,29748
29778,2,tt0062909
29778,1,29778
29805,1,29805
30163,1,30163
30175,1,30175
30421,1,30421
30421,2,tt0093978
30566,2,tt0068284
30566,1,30566
30890,1,30890
30943,2,tt0120646
30943,1,30943
31052,1,31052
31121,1,31121
31264,1,31264
31264,2,tt0086972
31270,1,31270
31270,2,tt0057870
31283,1,31283
31357,1,31357
31417,1,31417
31503,1,31503
31578,1,31578
31583,1,31583
31586,1,31586
31602,1,31602
31606,1,31606
31608,1,31608
31633,1,31633
31638,2,tt0078856
31638,1,31638
31646,1,31646
31701,2,tt0092783
31701,1,31701
31789,2,tt0117412
31789,1,31789
31858,1,31858
31939,1,31939
31947,1,31947
31962,1,31962
32037,2,tt0074292
32037,1,32037
32059,1,32059
32060,1,32060
32060,2,tt0090774
32100,2,tt0074653
32100,1,32100
32261,1,32261
32489,1,32489
32940,2,tt0072267
32940,1,32940
33217,2,tt1196141
33217,1,33217
33258,1,33258
33278,1,33278
33337,1,33337
33337,2,tt0076808
33357,1,33357
33360,1,33360
33360,2,tt0059499
33521,1,33521
33701,1,33701
33701,2,tt0078907
34059,1,34059
34059,2,tt0056917
34093,1,34093
34145,1,34145
34193,2,tt0077889
34193,1,34193
34584,1,34584
34636,2,tt0100240
34636,1,34636
34723,1,34723
34814,1,34814
35044,1,35044
35119,1,35119
35371,1,35371
35552,1,35552
35552,2,tt1179025
35552,5,Q380349
35588,2,tt0107004
35588,1,35588
35645,1,35645
35797,1,35797
35797,2,tt0082206
35831,1,35831
35831,2,tt0214529
36324,1,36324
36349,1,36349
36351,1,36351
36571,1,36571
36573,1,36573
36576,1,36576
36576,2,tt0085384
36593,1,36593
36599,1,36599
36670,5,Q180279
36670,2,tt0086006
36670,1,36670
36685,1,36685
36859,2,tt0312450
36859,1,36859
36914,1,36914
36955,1,36955
37094,1,37094
37136,1,37136
37137,1,37137
37165,2,tt0120382
37165,1,37165
37165,5,Q214801
37233,1,37233
37247,1,37247
37264,1,37264
37296,1,37296
37308,1,37308
37335,1,37335
37454,1,37454
37652,1,37652
37652,2,tt0118976
37653,1,37653
37653,2,tt0114732
37749,1,37749
37753,1,37753
37865,1,37865
37991,2,tt0059049
37991,5,Q569183
37991,1,37991
38080,1,38080
38152,1,38152
38268,1,38268
38268,2,tt0076902
38557,1,38557
38558,1,38558
38602,1,38602
38985,1,38985
39043,2,tt0065580
39043,5,Q932608
39043,1,39043
39074,1,39074
39176,1,39176
39222,1,39222
39222,5,Q1195065
39222,2,tt0057226
39263,5,Q1168595
39263,1,39263
39263,2,tt0068290
39382,1,39382
39385,1,39385
39385,2,tt0120471
39415,1,39415
39930,1,39930
39930,2,tt0116516
39973,2,tt0077945
39973,1,39973
39978,1,39978
39978,2,tt0087520
40047,1,40047
40055,1,40055
40057,1,40057
40057,2,tt0104363
40075,1,40075
40075,2,tt0085183
40213,1,40213
40213,2,tt0105859
40411,1,40411
40490,1,40490
40696,1,40696
40696,2,tt0123111
40729,1,40729
40729,2,tt0099636
40814,1,40814
40820,1,40820
40973,1,40973
40983,1,40983
40983,2,tt0068271
41003,1,41003
41263,1,41263
41402,1,41402
41402,2,tt1228987
41589,1,41589
41857,1,41857
41946,1,41946
41966,1,41966
41972,2,tt0080768
41972,1,41972
42010,1,42010
42121,1,42121
42149,1,42149
42264,1,42264
42287,1,42287
42287,2,tt0110073
42394,1,42394
42466,1,42466
42466,2,tt0070656
42473,1,42473
42473,2,tt0070814
42703,1,42703
42744,1,42744
42791,1,42791
42801,1,42801
42818,2,tt0022125
42818,1,42818
43146,1,43146
43146,2,tt0022877
43153,5,Q3423326
43153,1,43153
43153,2,tt0028980
43844,1,43844
43844,2,tt0030127
43873,1,43873
43873,2,tt0027489
43900,1,43900
43900,2,tt0024830
44326,1,44326
44446,1,44446
44446,2,tt0061357
44448,2,tt0061819
44448,1,44448
44450,1,44450
44450,2,tt0057846
44453,2,tt0058343
44453,1,44453
44617,1,44617
44617,2,tt0115567
44706,2,tt0119863
44706,1,44706
44772,1,44772
44826,1,44826
44826,2,tt0970179
44826,5,Q206576
45134,2,tt0211574
45134,1,45134
45225,1,45225
46443,2,tt0062151
46443,1,46443
46655,1,46655
46878,1,46878
46959,2,tt0096741
46959,1,46959
47045,1,47045
47504,1,47504
47943,2,tt0216800
47943,1,47943
48377,1,48377
48377,2,tt0119035
48457,1,48457
48769,2,tt0086079
48769,1,48769
49051,2,tt0903624
49051,1,49051
49398,1,49398
49457,1,49457
49687,1,49687
49849,2,tt0409847
49849,1,49849
49849,5,Q725578
50012,1,50012
50114,1,50114
50211,1,50211
50211,2,tt0089977
50435,1,50435
50627,1,50627
50796,1,50796
50796,2,tt0094872
51191,1,51191
51196,1,51196
51196,2,tt0111600
51257,1,51257
51257,2,tt0091089
51763,1,51763
51857,1,51857
51861,2,tt0216841
51861,1,51861
51925,2,tt0083110
51925,1,51925
51980,1,51980
51992,1,51992
52315,1,52315
52316,2,tt0107162
52316,1,52316
52557,1,52557
52557,2,tt0083618
52657,1,52657
52744,1,52744
52868,1,52868
52998,2,tt0095053
52998,1,52998
53179,1,53179
53192,1,53192
53357,2,tt0090933
53357,1,53357
54160,2,tt0078435
54160,1,54160
54471,1,54471
54471,5,Q2382933
54471,2,tt0116676
55377,1,55377
55377,2,tt0096808
55976,1,55976
56520,1,56520
56583,2,tt0108026
56583,1,56583
56589,2,tt0076684
56589,1,56589
57158,5,Q719915
57158,2,tt1170358
57158,1,57158
57308,2,tt0089762
57308,1,57308
57944,2,tt0110900
57944,1,57944
58545,2,tt0069094
58545,1,58545
58694,1,58694
58734,2,tt0292232
58734,1,58734
58736,1,58736
58736,2,tt0053403
59059,1,59059
59161,1,59161
59161,2,tt0090228
59237,2,tt0057414
59237,1,59237
59434,1,59434
59434,2,tt0054734
59434,5,Q3228386
59455,1,59455
59455,2,tt0084526
60041,1,60041
60175,1,60175
60670,2,tt0228786
60670,1,60670
60744,1,60744
60744,2,tt0120360
60797,1,60797
61225,1,61225
61226,1,61226
61243,5,Q1962929
61243,2,tt0081276
61243,1,61243
61405,2,tt0163166
61405,1,61405
61685,1,61685
61755,1,61755
61791,1,61791
61791,2,tt1318514
61791,5,Q243983
61991,1,61991
61991,2,tt0089072
62087,2,tt0095567
62087,1,62087
62134,1,62134
62134,2,tt0133314
62204,1,62204
62611,1,62611
62822,2,tt0215757
62822,1,62822
63150,2,tt0110646
63150,1,63150
63231,2,tt0247474
63231,1,63231
63481,1,63481
63657,2,tt0090734
63657,1,63657
64080,1,64080
64080,2,tt0092588
64239,2,tt0091322
64239,1,64239
64340,1,64340
64340,2,tt0120404
64686,5,Q2816898
64686,2,tt1335975
64686,1,64686
65449,1,65449
65703,1,65703
65703,2,tt0044883
66540,1,66540
66540,2,tt0046695
66635,2,tt0096342
66635,1,66635
67221,1,67221
67221,2,tt0091166
67342,1,67342
67342,2,tt0089371
67343,1,67343
67343,2,tt0091293
67344,1,67344
67344,2,tt0093422
67345,1,67345
67345,2,tt0099881
67346,1,67346
67346,2,tt0098150
67540,1,67540
67657,1,67657
67717,1,67717
67753,1,67753
67753,2,tt0030722
67754,2,tt0073875
67754,5,Q3023784
67754,1,67754
67757,1,67757
67757,2,tt0044441
68864,1,68864
68946,1,68946
68946,2,tt0088138
69044,1,69044
69056,1,69056
70160,2,tt1392170
70160,1,70160
70160,5,Q212965
70440,2,tt0053738
70440,1,70440
70530,1,70530
70530,2,tt1861421
70555,2,tt0052924
70555,1,70555
70555,5,Q553603
70981,2,tt1446714
70981,1,70981
71055,2,tt0085141
71055,1,71055
71373,1,71373
71630,2,tt0086214
71630,1,71630
72449,1,72449
72449,2,tt0068337
72664,1,72664
72833,1,72833
72833,2,tt0102589
73057,1,73057
73057,2,tt0119972
74080,5,Q2312518
74080,2,tt0077734
74080,1,74080
74747,2,tt0092809
74747,1,74747
74765,5,Q3223194
74765,1,74765
74765,2,tt0052860
74767,1,74767
74878,2,tt0059491
74878,1,74878
75184,1,75184
76128,1,76128
76163,2,tt1764651
76163,5,Q210812
76163,1,76163
76198,1,76198
76198,2,tt0071550
76198,5,Q1962618
76203,1,76203
76203,2,tt2024544
76203,5,Q3023357
76217,1,76217
76217,2,tt0086212
76454,2,tt0246180
76454,1,76454
76597,2,tt0119436
76597,1,76597
77673,5,Q3213507
77673,1,77673
77673,2,tt0088344
77729,5,Q945613
77729,2,tt0093411
77729,1,77729
78032,2,tt0102697
78032,1,78032
78159,1,78159
78159,2,tt0088873
78159,5,Q1304755
78264,1,78264
78264,2,tt0075021
78409,1,78409
78409,2,tt0085341
78830,2,tt0082690
78830,1,78830
79245,2,tt0216522
79245,1,79245
79756,2,tt0086311
79756,1,79756
80274,1,80274
80274,2,tt1731141
80274,5,Q1758112
80543,5,Q18914862
80543,2,tt0052211
80543,1,80543
80559,2,tt0101703
80559,1,80559
80809,1,80809
81024,2,tt0082524
81024,1,81024
81122,2,tt0092121
81122,1,81122
81895,1,81895
82175,1,82175
82753,1,82753
83105,1,83105
83223,2,tt0086176
83223,1,83223
83356,1,83356
83356,2,tt0059100
83542,2,tt1371111
83542,1,83542
83542,5,Q28936
84009,1,84009
84009,2,tt0180607
84017,1,84017
84017,2,tt0089121
84630,1,84630
84644,1,84644
84644,2,tt0118895
84875,5,Q369908
84875,2,tt0033603
84875,1,84875
85483,1,85483
86194,2,tt0074437
86194,1,86194
86404,1,86404
86404,2,tt0083611
87119,1,87119
87337,1,87337
87337,2,tt0099400
87736,1,87736
87774,1,87774
87774,5,Q15378860
87774,2,tt0072747
87777,1,87777
87779,1,87779
89921,1,89921
90736,1,90736
91131,1,91131
91131,2,tt0120156
91136,1,91136
91136,2,tt0234263
92371,1,92371
93289,5,Q663019
93289,2,tt0070356
93289,1,93289
96492,1,96492
96492,2,tt0079497
97105,1,97105
100075,2,tt0116091
100075,1,100075
101299,5,Q574583
101299,1,101299
101299,2,tt1951264
102494,1,102494
103029,2,tt0116520
103029,1,103029
104499,2,tt0070401
104499,1,104499
105596,1,105596
106517,2,tt0099880
106517,1,106517
106968,1,106968
108807,1,108807
108807,2,tt0078422
110415,2,tt1706620
110415,5,Q492908
110415,1,110415
111005,1,111005
111005,2,tt0120308
111475,1,111475
111475,2,tt0060137
111480,1,111480
111480,2,tt0059206
115082,1,115082
115082,2,tt0140834
116215,1,116215
119450,2,tt2103281
119450,1,119450
119450,5,Q11220194
120467,5,Q3521099
120467,2,tt2278388
120467,1,120467
120910,2,tt0093340
120910,1,120910
121208,1,121208
121208,2,tt0192056
122832,1,122832
122917,1,122917
122917,2,tt2310332
126889,2,tt2316204
126889,1,126889
128145,2,tt0113732
128145,1,128145
128971,1,128971
131631,2,tt1951265
131631,1,131631
131631,5,Q4142083
131634,1,131634
131634,2,tt1951266
131634,5,Q10307713
132169,2,tt0105857
132169,1,132169
132363,2,tt1327773
132363,5,Q3520173
132363,1,132363
132369,1,132369
133805,2,tt1939659
133805,1,133805
134240,2,tt0087657
134240,1,134240
138103,1,138103
138103,5,Q14370516
138103,2,tt2333784
138659,2,tt0109330
138659,1,138659
139262,1,139262
139874,2,tt0109721
139874,1,139874
148077,1,148077
148077,2,tt0944114
148077,5,Q3282562
150736,1,150736
150736,2,tt0181342
150839,1,150839
151992,2,tt0088075
151992,1,151992
152018,1,152018
152018,2,tt0037936
157350,2,tt1840309
157350,5,Q8561227
157350,1,157350
159704,2,tt0101095
159704,1,159704
160211,1,160211
160879,1,160879
161371,2,tt0087877
161371,1,161371
163766,1,163766
163879,1,163879
163879,2,tt0141673
164126,1,164126
164126,2,tt0105911
169009,1,169009
169946,2,tt0062099
169946,1,169946
170592,1,170592
170592,2,tt0228367
172825,2,tt0098609
172825,1,172825
173727,1,173727
173731,2,tt0105997
173731,1,173731
173736,1,173736
173736,2,tt0108768
173737,2,tt0140039
173737,1,173737
178297,1,178297
178297,2,tt0083245
179538,5,Q7918377
179538,2,tt2404738
179538,1,179538
181886,2,tt2316411
181886,1,181886
181886,5,Q2844879
183046,1,183046
187856,2,tt0131401
187856,1,187856
188987,2,tt0053703
188987,1,188987
190417,1,190417
190417,2,tt0087927
197537,1,197537
197537,2,tt0110425
200450,1,200450
203833,5,Q14511981
203833,1,203833
203833,2,tt0816442
214884,1,214884
216791,1,216791
219841,1,219841
222054,1,222054
227468,2,tt0234262
227468,1,227468
242248,2,tt0088320
242248,1,242248
243101,1,243101
243101,2,tt0228713
248390,1,248390
248390,2,tt2969776
250634,1,250634
255473,1,255473
255473,2,tt0086206
259530,1,259530
262500,1,262500
262500,2,tt2908446
262504,1,262504
262504,2,tt3410834
263341,1,263341
263341,2,tt2652118
270447,1,270447
270447,2,tt0085528
271559,1,271559
281338,1,281338
281338,2,tt3450958
281338,5,Q19938437
283366,1,283366
283366,2,tt1935859
299054,5,Q108813842
299054,1,299054
299054,2,tt3291150
299687,2,tt2304933
299687,1,299687
301054,2,tt0086185
301054,1,301054
302750,2,tt0310065
302750,1,302750
304322,2,tt0148054
304322,1,304322
315837,2,tt1219827
315837,1,315837
315837,5,Q22575835
335903,1,335903
335984,5,Q21500755
335984,1,335984
335984,2,tt1856101
338703,1,338703
338703,2,tt0118838
338730,2,tt0097885
338730,1,338730
345666,1,345666
346672,1,346672
346672,2,tt3717252
356206,1,356206
358828,1,358828
359120,1,359120
368161,1,368161
375262,1,375262
375262,2,tt5083738
375262,5,Q22001133
385871,1,385871
396535,5,Q20948236
396535,2,tt5700672
396535,1,396535
399579,1,399579
399579,2,tt0437086
401306,2,tt0075007
401306,1,401306
406298,2,tt5029642
406298,1,406298
419430,1,419430
419430,5,Q25136235
419430,2,tt5052448
427809,1,427809
427809,2,tt0264572
427910,1,427910
435126,2,tt6101820
435126,1,435126
452604,1,452604
466420,1,466420
466420,2,tt5537002
466420,5,Q66316924
467660,2,tt7153766
467660,1,467660
471506,1,471506
471506,2,tt2639336
483404,1,483404
483404,2,tt0349428
517839,5,Q53736577
517839,1,517839
517839,2,tt5501104
571940,1,571940
571940,2,tt0127463
577242,2,tt9844322
577242,1,577242
597697,1,597697
604563,2,tt7972012
604563,1,604563
634230,1,634230
653346,1,653346
653346,2,tt11389872
653346,5,Q114314695
657343,1,657343
675327,1,675327
675327,2,tt9691136
769714,1,769714
792307,2,tt14230458
792307,5,Q108760382
792307,1,792307
945961,1,945961
945961,2,tt18412256
945961,5,Q115932544
958940,1,958940
1034751,1,1034751
1034751,2,tt19766466
1076897,1,1076897
1076902,1,1076902
1112679,1,1112679
1126692,1,1126692
1126692,2,tt27737203
