id2,site_id,identifiant
873,1,873
874,1,874
879,1,879
881,1,881
888,1,888
891,1,891
891,5,Q466781
891,2,tt0074119
902,1,902
907,1,907
912,1,912
916,1,916
918,1,918
925,1,925
927,1,927
927,2,tt0087363
928,1,928
931,1,931
935,1,935
936,2,tt0057413
936,1,936
936,5,Q1131556
938,1,938
941,1,941
942,1,942
948,2,tt0077651
948,1,948
949,1,949
951,1,951
957,1,957
966,1,966
968,1,968
987,1,987
988,2,tt0078966
988,1,988
990,1,990
990,5,Q1130084
990,2,tt0054997
991,1,991
994,1,994
1051,1,1051
1052,1,1052
1073,1,1073
1073,2,tt0137363
1089,1,1089
1091,1,1091
1091,2,tt0084787
1093,1,1093
1103,2,tt0082340
1103,1,1103
1245,1,1245
1366,1,1366
1366,2,tt0075148
1367,2,tt0079817
1367,1,1367
1368,2,tt0083944
1368,1,1368
1369,1,1369
1369,2,tt0089880
1370,1,1370
1370,2,tt0095956
1371,1,1371
1371,2,tt0075148
1374,2,tt0089927
1374,1,1374
1375,1,1375
1375,2,tt0100507
1377,1,1377
1380,1,1380
1406,1,1406
1408,1,1408
1410,1,1410
1412,1,1412
1417,1,1417
1417,5,Q216006
1417,2,tt0457430
1443,1,1443
1443,2,tt0159097
1492,1,1492
1541,2,tt0103074
1541,1,1541
1551,1,1551
1552,1,1552
1572,1,1572
1573,1,1573
1578,1,1578
1584,2,tt0332379
1584,1,1584
1587,1,1587
1592,5,Q822057
1592,2,tt0117381
1592,1,1592
1594,1,1594
1594,5,Q1143501
1594,2,tt0058586
1598,1,1598
1607,1,1607
1621,1,1621
1621,2,tt0086465
1632,1,1632
1634,1,1634
1637,1,1637
1639,2,tt0120179
1639,1,1639
1642,2,tt0113957
1642,1,1642
1642,5,Q466884
1648,1,1648
1654,1,1654
1662,1,1662
1669,1,1669
1687,1,1687
1694,1,1694
1700,1,1700
1705,1,1705
1710,1,1710
1713,1,1713
1716,1,1716
1723,1,1723
1727,1,1727
1788,1,1788
1813,1,1813
1813,2,tt0118971
1825,1,1825
1825,2,tt0093692
1829,1,1829
1863,1,1863
1870,1,1870
1871,1,1871
1875,1,1875
1880,1,1880
1883,1,1883
1884,1,1884
1885,1,1885
1891,1,1891
1892,1,1892
1923,1,1923
1924,1,1924
1945,1,1945
1949,2,tt0443706
1949,1,1949
1949,5,Q218172
1955,1,1955
2005,1,2005
2007,1,2007
2019,1,2019
2038,1,2038
2039,1,2039
2071,1,2071
2075,1,2075
2087,1,2087
2108,1,2108
2116,1,2116
2116,2,tt0313443
2119,1,2119
2124,1,2124
2124,2,tt0109456
2139,1,2139
2144,2,tt0203755
2144,1,2144
2148,1,2148
2149,1,2149
2153,1,2153
2161,1,2161
2164,1,2164
2186,1,2186
2210,1,2210
2246,1,2246
2259,1,2259
2277,1,2277
2277,2,tt0182789
2280,1,2280
2291,1,2291
2320,1,2320
2321,1,2321
2322,1,2322
2323,1,2323
2436,1,2436
2453,1,2453
2457,1,2457
2459,1,2459
2462,1,2462
2469,1,2469
2487,1,2487
2487,2,tt0158714
2487,5,Q1754737
2493,1,2493
2501,1,2501
2501,2,tt0258463
2502,1,2502
2502,2,tt0372183
2503,5,Q107226
2503,1,2503
2503,2,tt0440963
2528,1,2528
2565,1,2565
2604,1,2604
2605,1,2605
2609,1,2609
2614,1,2614
2616,1,2616
2617,1,2617
2619,1,2619
2620,1,2620
2623,1,2623
2625,1,2625
2636,1,2636
2640,1,2640
2649,5,Q723187
2649,2,tt0119174
2649,1,2649
2655,1,2655
2655,2,tt0161081
2666,2,tt0118929
2666,5,Q1127281
2666,1,2666
2668,5,Q208592
2668,2,tt0162661
2668,1,2668
2669,1,2669
2731,1,2731
2742,1,2742
2756,1,2756
2756,2,tt0096754
2758,1,2758
2768,1,2768
2788,1,2788
2898,2,tt0119822
2898,1,2898
2898,5,Q221594
2907,1,2907
2912,1,2912
2924,1,2924
2924,2,tt0101393
2926,1,2926
2978,1,2978
2984,1,2984
2990,1,2990
3004,1,3004
3036,1,3036
3049,1,3049
3053,1,3053
3054,1,3054
3055,1,3055
3101,1,3101
3116,1,3116
3176,2,tt0266308
3176,5,Q864592
3176,1,3176
3480,5,Q679429
3480,2,tt0073864
3480,1,3480
3512,1,3512
3525,1,3525
3536,1,3536
3580,2,tt0824747
3580,1,3580
3586,1,3586
