film_id,titre,titre_original,annee,sortie,duree,franchise_id,pays
329,Jurassic Park,,1993,1993-06-11,126,328,{us}
335,Il était une fois dans l'Ouest,C'era una volta il West,1968,1968-12-21,166,,"{it,us}"
348,"Alien, le huitième passager",Alien,1979,1979-09-12,117,8091,"{us,gb}"
350,Le diable s'habille en Prada,The Devil Wears Prada,2006,2006-06-29,110,,{us}
364,Batman : Le Défi,Batman Returns,1992,1992-06-19,126,120794,{us}
377,Les Griffes de la nuit,A Nightmare on Elm Street,1985,1985-03-06,90,8581,"{us,gb}"
378,Arizona Junior,Raising Arizona,1987,1987-03-01,94,,{us}
379,Miller's Crossing,,1990,1990-09-21,122,,{us}
380,Rain Man,,1988,1988-12-12,133,,{us}
387,Le Bateau,Das Boot,,,149,,{de}
391,Pour une poignée de dollars,,1966,1966-03-15,95,,"{de,es,it}"
402,Basic Instinct,,1992,1992-05-08,130,86336,"{us,fr}"
403,Miss Daisy et son chauffeur,Driving Miss Daisy,1989,1989-12-13,99,,{us}
414,Batman Forever,,1995,1995-06-16,121,120794,{us}
424,La Liste de Schindler,Schindler's List,1993,1993-12-15,195,,{us}
429,"Le Bon, la Brute et le Truand",,1968,1968-08-03,161,,"{us,it,es,de}"
451,Leaving Las Vegas,,1995,1995-10-27,111,,"{fr,gb,us}"
462,"Erin Brockovich, seule contre tous",Erin Brockovich,2000,2000-03-17,131,,{us}
466,Klute,,1971,1971-06-23,114,,{us}
468,My Own Private Idaho,,1991,1991-02-01,104,,{us}
475,Bonnie et Clyde,Bonnie and Clyde,1967,1967-08-14,111,,{us}
476,Drugstore Cowboy,,1989,1989-10-20,98,,{us}
482,"Shaft, les nuits rouges de Harlem",Shaft,1971,1971-06-25,100,495,{us}
483,Sailor et Lula,Wild at Heart,1990,1990-08-17,127,,{us}
497,La Ligne verte,The Green Mile,1999,1999-12-10,189,,{us}
500,Reservoir Dogs,,1992,1992-09-02,95,,{us}
505,Johnny belle gueule,Johnny Handsome,1989,1989-09-12,94,,{us}
509,Coup de foudre à Notting Hill,Notting Hill,1999,1999-05-21,130,,"{gb,us}"
510,Vol au-dessus d'un nid de coucou,One Flew Over the Cuckoo's Nest,1975,1975-11-19,133,,{us}
522,Ed Wood,,1994,1994-09-27,127,,{us}
524,Casino,,1995,1995-11-22,178,,"{fr,us}"
525,Les Blues Brothers,The Blues Brothers,1980,1980-06-16,130,112636,{us}
526,"Ladyhawke, la femme de la nuit",Ladyhawke,1985,1985-03-27,121,,{us}
535,Flashdance,,1983,1983-09-14,95,,{us}
551,L'Aventure du Poséidon,The Poseidon Adventure,1973,1973-03-29,112,372257,{us}
562,Piège de cristal,Die Hard,1988,1988-07-15,132,1570,{us}
568,Apollo 13,Apollo 13,1995,1995-06-30,140,,{us}
571,Les Oiseaux,The Birds,1963,1963-03-28,120,690952,{us}
576,La Horde sauvage,The Wild Bunch,1969,1969-06-19,145,,{us}
577,Prête à tout,To Die For,1995,1995-09-22,102,,"{gb,us}"
