id,site_id,identifiant
cc34b908-947c-499d-a95b-74a87436d2e0,1,578
35de4d08-ae23-42a5-a792-4851f948d0fd,5,Q676094
ca695ce5-064d-4ba6-b19b-595d82ce3d13,5,Q12003
72925ff0-346f-4f14-bb98-28ca29645685,1,6159
b5941bcc-474f-4a2d-a06f-ecec245ae802,1,12851
d1d7a1a5-bb64-45e2-9595-5c7c8a31df73,5,Q55208
6c4c5d89-aa5b-4f8b-a107-280fc99d3c9a,1,2882
4f1e41f1-080a-40c6-8e4c-653d0437a52b,1,3896
da7d29ec-0a91-4a32-9711-f5ee0b93b3d8,1,8977
9f72b128-e7cb-4ee1-9f4f-801e655b430a,1,8872
706ae11c-1c62-4e6b-a864-b1cfb69822a8,1,28781
8c3aaa6a-5294-4bc8-9d7b-d5389aaa13b3,1,593
38047272-b01a-43fb-bd65-171da7491859,5,Q39792
f12a25e5-b6b1-48a0-9dd9-11510aa744ee,1,1038
e6274aaa-31e5-40e4-8b83-1c4507de472b,1,11514
e44e8d89-5845-4048-acfd-cee0d7f054a1,1,2712
972ce6ac-0335-415d-9e95-46a64b187348,1,16431
b7770571-dac0-4ce4-a95a-25c37342d642,1,55271
81d26ad3-8bb8-4d9f-807b-fa3f65da3b0e,1,15112
e5923603-f06d-4166-8bc1-3ce7539c71fe,1,11187
0a4fd387-98e1-464f-858e-1b7815dcfd08,1,10182
6e4d67b8-5c07-44eb-845d-aaeafa2702fa,1,32044
fdec0e3f-a9a4-43a7-9a9d-a7b7cd1becea,1,3291
9ba16814-0229-4025-927c-795cd4d6dd07,1,16483
65a93474-1d55-48df-b1c8-c783ecdc4f63,1,70427
3ce1e09e-6cb0-4e8e-a426-75ec15c7e690,1,11395
bcf1457d-dbcf-4b07-8850-fb0f20697ff9,1,22767
9ba16814-0229-4025-927c-795cd4d6dd07,5,Q40026
80e248a5-f258-4c3b-b42a-aa5f48b67e87,1,2419
e5ee7f98-e99c-41fe-9295-0530616ab9d8,5,Q327229
8b172053-c4d3-410d-b537-2ab413b4181b,1,10828
e6c1e4f5-a448-4f77-b062-7ea20a61597a,1,33315
dd874ec3-cb95-47e7-a94c-4f048f0c8213,2,nm0077720
72079116-10a8-4df7-b805-aa8bac388822,1,9194
8f55b03c-4c1d-4e1e-9c66-1d8ce00c75e6,1,94785
03f56b4c-1ce6-4c72-bac4-2cf9ef18d01c,2,nm0000643
1f20e0b5-042d-4d3d-b452-7b8b66bb0377,5,Q2556526
fe5c9798-495a-4426-bf04-a95db272b10e,1,94939
23cd4edb-007f-4dd6-ba4f-9c876d5c424e,1,349
849b0e53-e78b-48fd-8ace-f1f26a183182,1,74382
5a51e7bb-adde-40dd-83ec-b74b2129ded4,1,27446
147db1a9-d8bf-4157-809c-3dd886b90641,2,nm0000661
2fb37367-df7a-4196-8c59-ac052036dc2e,1,1892
25ffa6bc-e468-46fc-ab73-75518b770941,1,8784
6af42e6c-5730-44fa-9e1b-476580b19df5,1,8984
c2ead2b6-4e89-422f-9cea-54d4af804efd,1,33322
4c6389ca-0333-4abb-b648-c5509ed8a973,5,Q106544
6ff408bb-d4a1-47a4-93af-2ae3e1ea9765,1,24379
a176048e-158f-448d-9bc3-e564fc2d1666,5,Q3165444
89029157-70cf-4df8-a0e6-66ba2650c1b6,1,4273
7679b6c7-9447-47de-a312-c7d3f06e5046,2,nm0393222
8ff9b1f5-edc9-47f3-aa3e-2e6f2470b4f5,1,1957
5d63d9cb-39ae-4745-af0f-cf41729e5e1d,1,10814
eae4c21d-3ea5-4a8e-8765-dc9364ba26ba,5,Q363684
a2c8c647-37af-414f-b9ed-b7110ee51eb5,1,47829
734e6593-c6eb-40d9-8651-8e071599ad4e,5,Q363659
3dd71dbc-3fee-4e31-9d9e-411aa9ba5cb3,1,24500
8700167e-a76b-47e4-aa2d-0d67ac1d52b0,1,10742
ea4dc8b8-ca26-4ca9-8d88-4745933a6272,1,418
e423bdfa-29e9-45e0-a450-f40b263be31d,1,40241
07c25eda-0fe2-4b95-a410-7df73b7adfbd,1,31
626a46e1-9321-403d-934e-912e72aeddbe,5,Q723780
c3035034-4b8a-4ae6-b134-303810d2c84f,1,9640
c9e467af-d71a-4dd7-9863-8860e6bb3748,5,Q236089
6e6dd4a5-6117-4e9d-8935-d1172dbd4d8e,1,131
6873e324-1eec-4ae4-b14d-9e5ccb2baab1,5,Q299314
81c2e74e-9f69-47e4-a3df-184978a6ca24,5,Q40531
1c6243df-f751-4354-bf74-ad3b2c05b3d5,5,Q106481
8597f1c2-138a-49f0-900e-6fc5fcf077d4,1,65505
0f9fb46b-fed1-45a4-9d44-e3b1e30b5623,1,6450
3e8ca075-ceb7-4ead-826a-6709a8271ad5,1,8924
3e8ca075-ceb7-4ead-826a-6709a8271ad5,5,Q310944
71120c4e-1d7d-4555-a8a9-088187ab65df,2,nm0000429
740d308e-0a43-456f-8cbc-4b1597bc7427,1,12483
c868fa91-5534-4573-9532-bab6d0359d9d,2,nm0001663
c212ad64-fb4f-4af4-bfb8-c2dc312fe480,5,Q243430
446c65c4-fa1a-471f-a6e7-85a3cea70f76,2,nm0000063
6cadc5b7-d439-4994-8927-39602a6e720b,5,Q49001
21c2b10a-358e-408b-abd2-5bf391b77927,5,Q320218
0530881e-bdb6-4514-8f34-d31eaab93f3c,1,689
84fadafe-bec3-495c-91c2-1bf8ecfa9060,1,5050
b37fd0df-fb30-4041-9066-906ad7d81e14,1,10774
3ec35293-78a6-4315-a3ba-fb1a3081573a,2,nm0004778
603e216b-76d1-4fe1-b9b8-50cd054776f1,1,2877
0f28abed-ea87-4ebc-830c-31f975f34227,5,Q190631
80a3edc0-034a-495d-a125-7d2e5699323f,1,35900
b5b8a16a-0f4e-46d8-b282-cb6e9c1e6e1a,1,206
a2f5a1e7-fe56-4339-8f6f-96399bfe3a81,1,50967
c86f40e0-a9ea-436f-8834-f07b87b145d1,1,25181
b791cc1b-1cc1-41fe-a2bb-41d0a8de01c3,1,6721
1ed2494d-6afa-494c-b3df-c84ca5ba8db8,1,39143
