f_id,s_id
10306,1
10326,7
10328,15
10329,4
10333,5
10337,6
10344,15
10372,2
10377,15
10395,5
10396,7
10407,3
10407,8
10424,4
10428,9
10435,6
10435,21
10439,10
10443,7
10449,14
10466,8
10466,23
10486,14
10489,7
10493,7
10495,5
10514,8
10518,4
10536,4
10537,3
10537,6
10537,21
10543,3
10543,8
10551,6
10553,19
10585,9
10587,7
10604,15
10648,7
10651,7
10656,25
10658,2
10658,8
10660,6
10673,15
10675,7
10699,5
10714,10
10724,7
10729,7
10730,4
10731,7
10734,4
10750,6
10765,7
10766,15
10768,15
10771,11
10774,1
10776,7
10780,1
10802,21
10803,1
10806,4
10843,7
10849,19
10859,14
10860,6
10868,4
10890,5
10897,8
10897,23
10911,5
10925,19
10935,9
10937,16
10937,24
10945,15
10957,10
10998,4
10999,15
11002,7
11006,8
11008,8
11009,4
11011,7
11018,1
11027,4
11034,4
11037,6
11046,1
11050,4
11051,8
11060,4
11066,4
11068,7
11074,5
11077,3
11077,8
11082,6
11092,7
11120,7
11133,1
11153,7
11157,19
11158,10
11177,8
11186,8
11215,9
11221,4
11223,1
11231,5
11259,3
11259,8
11281,8
11286,15
11287,5
11296,6
11308,19
11317,3
11317,5
11324,4
11327,5
11338,8
11352,8
11352,9
11352,23
11364,4
11372,20
11381,4
11393,6
11411,7
11411,16
11411,24
11416,7
11422,8
11428,5
11448,12
11465,19
11472,15
11474,4
11479,14
11479,25
11482,4
11484,9
11495,8
11507,5
11509,5
11510,21
11519,5
11519,8
11521,19
11522,4
11524,9
11527,7
11527,19
11528,15
11530,22
11533,5
11541,1
11546,7
11548,8
11548,23
11557,5
11561,9
11566,7
11583,9
11584,5
11589,1
11591,7
11593,4
11595,4
11607,6
11607,21
11620,1
11623,20
11630,14
11649,16
11649,24
11654,1
11667,8
11687,17
11690,24
11694,5
11709,22
11718,6
11778,8
11780,9
11797,5
11814,8
11816,8
11816,20
11827,5
11850,9
11851,4
11853,15
11856,21
11858,14
11859,7
11861,8
11861,23
11862,14
11863,4
11864,15
11873,14
11890,14
11893,16
11893,24
11896,19
11899,6
11904,4
11904,23
11932,8
11934,7
11943,7
11950,7
11955,6
11955,21
11963,4
11966,6
11967,15
11974,3
11974,8
11976,8
11976,15
11977,7
11977,19
11979,7
11982,6
12101,1
12102,5
12104,1
12106,6
12110,5
12111,22
12120,5
12122,8
12139,7
12150,8
12151,14
12154,14
12157,14
12158,4
12160,7
12185,4
12208,5
12235,5
12236,19
12245,7
12309,15
12310,15
12444,7
12445,7
12500,16
12500,24
12503,19
12506,8
12560,5
12579,25
12584,4
12623,6
12651,7
12704,5
12705,8
12710,14
12715,16
12715,24
12716,25
12717,25
12764,16
12764,24
12778,3
12778,8
12919,14
13064,7
13105,15
13192,7
13333,5
13342,8
13346,15
13595,15
13597,2
13597,6
13633,8
13671,7
13681,6
13704,15
13727,25
13766,15
13776,1
13818,4
13939,4
14040,7
14140,18
14347,15
14362,7
14367,14
14372,1
14373,16
14373,24
14412,7
14425,15
14534,6
14550,3
14550,8
14612,18
14621,7
14628,8
14742,7
14746,8
14854,19
14864,19
14886,5
15120,8
15144,8
15196,4
15301,7
15379,16
15379,24
15392,5
15417,7
15592,14
15596,19
15613,4
15677,5
15698,1
15739,5
15764,8
15764,20
15785,19
15983,16
15983,24
16082,5
16084,18
16113,16
16113,24
16121,9
16153,7
16235,19
16248,4
16281,7
16297,7
16314,14
16642,4
16769,8
16814,4
16820,19
16858,5
16858,15
17006,9
17169,7
17258,15
17277,4
17339,5
17360,4
17362,6
17365,4
17465,9
17466,1
17466,24
17496,4
17529,4
17538,8
17692,8
17819,7
18133,14
18169,6
18172,15
18196,8
18282,7
18298,25
18331,4
18387,7
18391,19
18410,15
18419,25
18457,7
18835,8
18905,9
19086,1
19086,24
19114,8
19123,17
19345,15
19382,8
19494,15
19606,7
19736,14
19761,20
19855,8
