personne_id,nom,prenom,naissance,deces,nationalite,artiste,popularite
3b9eba88-84f3-40ff-a8d9-63a001ff8f04,Kash,Daniel,1959-04-25,,ca,,8.567
21c64182-ad5d-4207-adf5-6df21d1b7bc4,Willis,Bruce,1955-03-19,,,,58.639
82404f5e-59d1-45d6-a0e0-ea07695377bd,Kenworthy,Michael,,,us,,0.6
41bde72f-188a-4ccc-a63c-84d188cba9de,Mastrantonio,Mary Elizabeth,1958-11-17,,us,,16.187
42730da3-7ba6-429b-ade8-f9d0287931d8,Seagal,Steven,1952-04-10,,us,,60.201
85e7a0c6-4d33-4e8d-9669-393055db48d4,Jugnot,Gérard,1951-05-04,,fr,,12.037
02a87b57-b8e5-4730-aef2-e31ded2de0ac,Nelson,Gary,1934-10-06,2022-05-25,us,,14.994
44300acc-7c79-4769-8529-0b6f4e83708c,Gosset Jr.,Louis,1936-05-27,2024-03-29,us,,43.568
2ef60e47-e58a-4815-bbb7-738e235b664a,Cryer,Jon,1965-04-16,,,,58.52
37f2a816-7dc8-48f7-ad5c-588847c07313,Ross,Ricco,1960-04-16,,us,,8.241
35de4d08-ae23-42a5-a792-4851f948d0fd,Barrymore,Drew,1975-02-22,,,,44.037
bf8be473-db59-4b98-82c4-929799b69af1,Davis,Warwick,1970-02-03,,gb,,17.317
72925ff0-346f-4f14-bb98-28ca29645685,Howard,Ron,1954-03-01,,us,,29.391
ddc1ba58-fb70-4e4c-b076-f251dc6418ee,Spader,James,1960-02-07,,,,38.679
03bfee64-d1f4-4df9-92af-cefb41238336,Ramsey,Anne,1929-09-01,1988-08-11,us,,11.67
0a943e06-2e38-464b-940b-0fc493200fd5,Henriksen,Lance,1940-05-05,,us,,36.908
e98c10cb-0be2-48d9-a5b6-1b8d4387a24a,Bowie,David,1947-01-08,2016-01-10,gb,,35.038
5b0fe5e7-f6b2-441d-98ff-cbe8676d4bec,Margheriti,Edoardo,1959-02-15,,it,,1.391
5170e231-b8d5-4e45-8205-d38527bccc0b,Hiller,Colette,,,us,,8.348
731f8970-90cc-4173-ab8c-6a0d91453014,Williamson,Fred,1938-03-05,,us,,19.403
314d4062-e9f6-428f-8ac6-51f9f62c4527,Ramis,Harold,1944-11-21,2014-02-24,us,,35.736
b4e88855-0164-453b-bcf0-45a7f677c8dd,Turner,Kathleen,1954-06-19,,us,,34.432
