film_id,motcle_id
045b7f61-44fd-4f01-a23e-d984f0fffb7e,1415
045b7f61-44fd-4f01-a23e-d984f0fffb7e,3799
045b7f61-44fd-4f01-a23e-d984f0fffb7e,272
045b7f61-44fd-4f01-a23e-d984f0fffb7e,3133
045b7f61-44fd-4f01-a23e-d984f0fffb7e,4197
045b7f61-44fd-4f01-a23e-d984f0fffb7e,1909
045b7f61-44fd-4f01-a23e-d984f0fffb7e,3501
045b7f61-44fd-4f01-a23e-d984f0fffb7e,3098
045b7f61-44fd-4f01-a23e-d984f0fffb7e,6095
045b7f61-44fd-4f01-a23e-d984f0fffb7e,13001
045b7f61-44fd-4f01-a23e-d984f0fffb7e,13005
045b7f61-44fd-4f01-a23e-d984f0fffb7e,242789
045b7f61-44fd-4f01-a23e-d984f0fffb7e,244516
045b7f61-44fd-4f01-a23e-d984f0fffb7e,261274
7a5f8599-1346-47a6-a428-5dc543760d19,3133
7a5f8599-1346-47a6-a428-5dc543760d19,3098
7a5f8599-1346-47a6-a428-5dc543760d19,9663
7a5f8599-1346-47a6-a428-5dc543760d19,15032
7a5f8599-1346-47a6-a428-5dc543760d19,41380
7a5f8599-1346-47a6-a428-5dc543760d19,229900
7a5f8599-1346-47a6-a428-5dc543760d19,261274
0e245d7d-4f85-42b0-8810-36e8933d693b,339
0e245d7d-4f85-42b0-8810-36e8933d693b,2106
0e245d7d-4f85-42b0-8810-36e8933d693b,2111
0e245d7d-4f85-42b0-8810-36e8933d693b,4607
0e245d7d-4f85-42b0-8810-36e8933d693b,9672
0e245d7d-4f85-42b0-8810-36e8933d693b,6790
0e245d7d-4f85-42b0-8810-36e8933d693b,155652
0e245d7d-4f85-42b0-8810-36e8933d693b,187056
0e245d7d-4f85-42b0-8810-36e8933d693b,208992
0e245d7d-4f85-42b0-8810-36e8933d693b,227612
a7a90aba-ef82-4cb9-81c3-e92993b293d0,387
a7a90aba-ef82-4cb9-81c3-e92993b293d0,4210
a7a90aba-ef82-4cb9-81c3-e92993b293d0,339
a7a90aba-ef82-4cb9-81c3-e92993b293d0,2770
a7a90aba-ef82-4cb9-81c3-e92993b293d0,1956
a7a90aba-ef82-4cb9-81c3-e92993b293d0,3365
a7a90aba-ef82-4cb9-81c3-e92993b293d0,8201
a7a90aba-ef82-4cb9-81c3-e92993b293d0,12670
a7a90aba-ef82-4cb9-81c3-e92993b293d0,207883
a7a90aba-ef82-4cb9-81c3-e92993b293d0,236316
665a880b-41c4-4d05-9f33-7bbd1382c8e9,10364
665a880b-41c4-4d05-9f33-7bbd1382c8e9,339
665a880b-41c4-4d05-9f33-7bbd1382c8e9,1956
665a880b-41c4-4d05-9f33-7bbd1382c8e9,6790
c940d72c-7aec-4baf-a8ef-0cac6536f7a3,818
c940d72c-7aec-4baf-a8ef-0cac6536f7a3,339
c940d72c-7aec-4baf-a8ef-0cac6536f7a3,2106
c940d72c-7aec-4baf-a8ef-0cac6536f7a3,2051
c940d72c-7aec-4baf-a8ef-0cac6536f7a3,4410
c940d72c-7aec-4baf-a8ef-0cac6536f7a3,155460
c940d72c-7aec-4baf-a8ef-0cac6536f7a3,155723
c940d72c-7aec-4baf-a8ef-0cac6536f7a3,185994
c940d72c-7aec-4baf-a8ef-0cac6536f7a3,208289
c940d72c-7aec-4baf-a8ef-0cac6536f7a3,209817
c940d72c-7aec-4baf-a8ef-0cac6536f7a3,227612
c940d72c-7aec-4baf-a8ef-0cac6536f7a3,264778
c940d72c-7aec-4baf-a8ef-0cac6536f7a3,295635
c940d72c-7aec-4baf-a8ef-0cac6536f7a3,326871
c940d72c-7aec-4baf-a8ef-0cac6536f7a3,326872
c940d72c-7aec-4baf-a8ef-0cac6536f7a3,326873
1dcfc6cd-0879-45e3-9cef-22db27f2d5f2,1860
1dcfc6cd-0879-45e3-9cef-22db27f2d5f2,339
