nom,popularite,pays
Migliore,8994,it
Sartori,8989,it
Auria,8988,it
Alonge,8969,it
Grosso,8950,it
Di Capua,8945,it
Caruana,8931,it
De Bourgogne,8920,it
Graziano,8897,it
Costanzo,8876,it
Di Maggio,8872,it
Adamo,8857,it
Stella,8855,it
Vassallo,8853,it
Bevilacqua,8853,it
Brancato,8847,it
Circelli,8834,it
Attardo,8831,it
Rubino,8805,it
Fazio,8786,it
Migliaccio,8778,it
Contino,8777,it
Fieschi,8770,it
Regazzoni,8748,it
Bucci,8745,it
Falzone,8743,it
Nocera,8733,it
Tartaglia,8702,it
Cavallaro,8689,it
Neri,8688,it
Di Palma,8685,it
Gavioli,8667,it
Mantovani,8666,it
Valentini,8635,it
De Hohenstaufen,8632,it
Lo Giudice,8620,it
Borgia,8616,it
Di Pasquale,8607,it
Paolucci,8595,it
Battista,8558,it
Di Meo,8552,it
Arena,8544,it
Pacifico,8543,it
Natale,8533,it
Pisano,8516,it
Galli,8491,it
Curto,8466,it
Di Giacomo,8464,it
Campisi,8450,it
Salvi,8422,it
Ciaccio,8417,it
Ostrogothie,8411,it
Rosato,8395,it
Castiglione,8390,it
Salvaggio,8376,it
Presti,8364,it
Infantino,8349,it
Genovese,8334,it
Gagliardi,8326,it
De Spolete,8325,it
Barra,8311,it
Rizzuto,8300,it
Mercurio,8296,it
Giuliano,8267,it
Cacioppo,8248,it
De Provence,8226,it
Casa,8218,it
Liotta,8194,it
Triolo,8190,it
Ricciardi,8188,it
Salvatore,8187,it
Di Savoia,8179,it
Di Blasi,8156,it
Amore,8150,it
Coniglio,8147,it
Grassi,8144,it
Ferri,8132,it
Pavia,8073,it
Zarbo,8067,it
Matranga,8066,it
Ivree,8038,it
Di Iorio,8006,it
Fantini,8002,it
Schillaci,7994,it
Scaglione,7994,it
Campanella,7984,it
Picone,7978,it
Altieri,7975,it
Raimondi,7961,it
Clemente,7954,it
Albano,7940,it
Olivieri,7937,it
Sansone,7913,it
Capuano,7894,it
Agostini,7876,it
Marchetti,7864,it
Von Hohenstaufen,7860,it
Salvato,7832,it
Costantino,7830,it
Izzo,7825,it
Furlan,7819,it
Riggio,7790,it
Paci,7754,it
Salvo,7737,it
De Toscane,7733,it
Giudice,7697,it
Martelli,7694,it
Curcio,7670,it
Re,7663,it
Amodeo,7661,it
Schettino,7640,it
Mosca,7636,it
Terranova,7616,it
Florio,7611,it
Valenza,7598,it
Ranieri,7596,it
Di Giuseppe,7593,it
Lumia,7585,it
Lucido,7578,it
Bellini,7560,it
Bertolino,7530,it
Terrana,7530,it
Castronovo,7521,it
Della Scala,7521,it
Micciche,7501,it
Marini,7474,it
Del Negro,7473,it
Vinciguerra,7469,it
Massa,7456,it
Garofalo,7455,it
La Marca,7440,it
Ventura,7421,it
Valerio,7412,it
Mirabile,7412,it
Drago,7394,it
Sortino,7385,it
Cottone,7383,it
Lo Iacono,7363,it
Guida,7349,it
Farruggio,7323,it
Savarino,7318,it
Cali,7312,it
Giannini,7301,it
Autriche,7287,it
Scalia,7285,it
Merlo,7281,it
Schiavone,7275,it
De Bourbon Siciles,7237,it
Silvestro,7223,it
Mineo,7217,it
Spoto,7216,it
Bondi,7199,it
De Lorraine,7191,it
Lucia,7172,it
Turco,7165,it
Rivoire,7156,it
Cammalleri,7128,it
Polito,7117,it
Di Domenico,7115,it
Falsone,7113,it
Scotti,7113,it
Rossetti,7102,it
Spataro,7093,it
Aronica,7084,it
Esposto,7081,it
Cuffaro,7065,it
Mannino,7063,it
Alletto,7025,it
De Toxandrie,6987,it
Valentino,6984,it
Cortese,6978,it
Ruffo,6976,it
