"banque_code","nom","adresse_id"
BNPAFRPPEPL,BNP Paribas,1101
BOUSFRPPBDF,Boursorama,1102
CEPAFRPP513,Caisse d'Épargne,1103
AGRIFRPP861,Crédit Agricole,1104
CRLYFRPPRMA,LCL,1105
CCFRFRPP310,HSBC Continental Europe,1106
SOGEFRPPSTD,Société Générale,1107
PSSTFRPPNCY,La Banque Postale Centre Financier de Nancy,1108
CCBPFRPPMTZ,Banque Populaire Alsace Lorraine Champagne,1109
CMCIFR2ACEE,Crédit Mutuel Strasbourg,1110
