Aircraft type ID ,Manufacturer name ,Aircraft type name     ,ICAO aircraft type designator ,Manufacturer country ,Category  ,Role               ,Engine type ,Engines ,WTC    ,Seats ,First flight ,Last manufactured ,Total # built
__A320           ,Airbus SAS        ,Airbus A320 family     ,                              ,_unknown_            ,Landplane ,Passenger Airliner ,Jet         ,      2 ,Medium ,  199 ,1987         ,8 605             ,[I]           ,1
__A330           ,Airbus SAS        ,Airbus A330 family     ,                              ,_unknown_            ,Landplane ,Passenger Airliner ,Jet         ,      2 ,Heavy  ,  335 ,1992         ,1 439             ,30
__A340           ,Airbus SAS        ,Airbus A340 family     ,                              ,_unknown_            ,Landplane ,Passenger Airliner ,Jet         ,      4 ,Heavy  ,  419 ,1991         ,2011              ,380           ,[I]
__A350           ,Airbus SAS        ,Airbus A350 XWB family ,                              ,_unknown_            ,Landplane ,Passenger Airliner ,Jet         ,      2 ,Heavy  ,  387 ,2013         ,240               ,[I]
A19N             ,Airbus SAS        ,Airbus A319neo         ,A19N                          ,_unknown_            ,Landplane ,Passenger Airliner ,Jet         ,      2 ,Medium ,  160 ,2017         ,[I]
A20N             ,Airbus SAS        ,Airbus A320neo         ,A20N                          ,_unknown_            ,Landplane ,Passenger Airliner ,Jet         ,      2 ,Medium ,  195 ,2014         ,[I]               ,1
A21N             ,Airbus SAS        ,Airbus A321neo         ,A21N                          ,_unknown_            ,Landplane ,Passenger Airliner ,Jet         ,      2 ,Medium ,  240 ,2016         ,[I]               ,1
A306             ,Airbus SAS        ,Airbus A300-600        ,A306                          ,_unknown_            ,Landplane ,Passenger Airliner ,Jet         ,      2 ,Heavy  ,  266 ,?            ,                  ,64            ,2
A30B             ,Airbus SAS        ,Airbus A300            ,A30B                          ,_unknown_            ,Landplane ,Passenger Airliner ,Jet         ,      2 ,Heavy  ,  266 ,1972         ,2007              ,561           ,46  ,1
A310             ,Airbus SAS        ,Airbus A310            ,A310                          ,_unknown_            ,Landplane ,Passenger Airliner ,Jet         ,      2 ,Heavy  ,  250 ,1982         ,2007              ,255           ,62  ,2
A318             ,Airbus SAS        ,Airbus A318            ,A318                          ,_unknown_            ,Landplane ,Passenger Airliner ,Jet         ,      2 ,Medium ,  117 ,2002         ,                  ,28
A319             ,Airbus SAS        ,Airbus A319            ,A319                          ,_unknown_            ,Landplane ,Passenger Airliner ,Jet         ,      2 ,Medium ,  134 ,1995         ,                  ,734           ,2
A320             ,Airbus SAS        ,Airbus A320            ,A320                          ,_unknown_            ,Landplane ,Passenger Airliner ,Jet         ,      2 ,Medium ,  164 ,1987         ,                  ,1 349         ,2
A321             ,Airbus SAS        ,Airbus A321            ,A321                          ,_unknown_            ,Landplane ,Passenger Airliner ,Jet         ,      2 ,Medium ,  199 ,1993         ,                  ,395           ,2
A332             ,Airbus SAS        ,Airbus A330-200        ,A332                          ,_unknown_            ,Landplane ,Passenger Airliner ,Jet         ,      2 ,Heavy  ,  293 ,?            ,                  ,269           ,2
A333             ,Airbus SAS        ,Airbus A330-300        ,A333                          ,_unknown_            ,Landplane ,Passenger Airliner ,Jet         ,      2 ,Heavy  ,  335 ,?            ,                  ,178           ,2
A338             ,Airbus SAS        ,Airbus A330-800neo     ,A338                          ,_unknown_            ,Landplane ,Passenger Airliner ,Jet         ,      2 ,Heavy  ,  299 ,2018         ,[I]
A339             ,Airbus SAS        ,Airbus A330-900neo     ,A339                          ,_unknown_            ,Landplane ,Passenger Airliner ,Jet         ,      2 ,Heavy  ,  345 ,2017         ,[I]
A342             ,Airbus SAS        ,Airbus A340-200        ,A342                          ,_unknown_            ,Landplane ,Passenger Airliner ,Jet         ,      4 ,Heavy  ,  300 ,?            ,2008              ,[I]           ,9   ,1
A343             ,Airbus SAS        ,Airbus A340-300        ,A343                          ,_unknown_            ,Landplane ,Passenger Airliner ,Jet         ,      4 ,Heavy  ,  335 ,?            ,                  ,160           ,1
A345             ,Airbus SAS        ,Airbus A340-500        ,A345                          ,_unknown_            ,Landplane ,Passenger Airliner ,Jet         ,      4 ,Heavy  ,  359 ,?            ,                  ,20
A346             ,Airbus SAS        ,Airbus A340-600        ,A346                          ,_unknown_            ,Landplane ,Passenger Airliner ,Jet         ,      4 ,Heavy  ,  419 ,?            ,                  ,84            ,1
A358             ,Airbus SAS        ,Airbus A350-800 XWB    ,A358                          ,_unknown_            ,Landplane ,Passenger Airliner ,Jet         ,      2 ,Heavy  ,  325 ,0            ,[I]
A359             ,Airbus SAS        ,Airbus A350-900 XWB    ,A359                          ,_unknown_            ,Landplane ,Passenger Airliner ,Jet         ,      2 ,Heavy  ,  325 ,2013         ,[I]               ,2
A35K             ,Airbus SAS        ,Airbus A350-1000 XWB   ,A35K                          ,_unknown_            ,Landplane ,Passenger Airliner ,Jet         ,      2 ,Heavy  ,  387 ,2016         ,[I]               ,
A388             ,Airbus SAS        ,Airbus A380            ,A388                          ,_unknown_            ,Landplane ,Passenger Airliner ,Jet         ,      4 ,Heavy  ,  853 ,2005         ,234               ,48
