type,msn,immatriculation,hexa,date de livraison,remarque
330-941N,1884,3B-NBU,060035,2019-04-18,Aapravasi Ghat
330-941N,1890,3B-NBV,060036,2019-06-19,Chagos Archipelago
350-941,354,3B-NCE,060040,2020-10-01,Mauritius Kestrel
350-941,365,3B-NCF,060041,2020-11-01,Boucle d'oreille
350-941,145,3B-NBP,06002F,2017-10-19,Le Morne Brabant
350-941,157,3B-NBQ,060030,2017-11-26,Pieter Both
72-212A,690,3B-NBG,06001D,2002-06-01,Port Mathurin
72-212A,921,3B-NBN,06002B,2010-12-18,Ile aux Aigrettes
72-212A,926,3B-NBO,06002E,2016-06-23,Les Mascareignes
