airportid,name,city,country,iata,icao,latitude,longitude,altitude,timezone,dst,tz,type,source
11193,Mwene-Ditu Airport,Mwene-Ditu,Congo,,FZWE,-6.982999801635742,23.083000183105470,3198,1,U,\N,airport,OurAirports
11433,Tolwin Observatory Airport,Tolhuin,Argentina,,SAWL,-54.521900177000000,-67.198997497600000,90,-3,S,\N,airport,OurAirports
11452,Leopoldsburg Airfield,Leopoldsburg,Belgium,,EBLE,51.120000000000000,5.307222200000000,207,1,E,\N,airport,OurAirports
11479,Omtepe Airport,Moyogalpa,Nicaragua,,MNLP,11.523616000000000,-85.702995000000000,200,-6,S,\N,airport,OurAirports
11583,Hinton/Jasper-Hinton Airport,Hinton,Canada,,CEC4,53.319198608400000,-117.752998352000000,4006,-7,A,\N,airport,OurAirports
11673,William Creek Airport,William Creek,Australia,,YWMC,-28.906700134277344,136.341995239257800,91,9.5,U,\N,airport,OurAirports
11684,Kenora Seaplane Base,Kenora,Canada,,CJM9,49.767424000000000,-94.492740000000000,1060,-6,A,\N,airport,OurAirports
11700,Siquijor Airport,Siquijor,Philippines,,RPVZ,9.214203223190001,123.472251892000000,0,8,N,\N,airport,OurAirports
11718,Gelnhausen Airport,Gelnhausen,Germany,,EDFG,50.197223663330080,9.170000076293945,446,1,E,\N,airport,OurAirports
11719,Ærø Airport,Aero,Denmark,,EKAE,54.852798461914060,10.456399917602539,3,1,E,\N,airport,OurAirports
11720,Lauterbach Airport,Lauterbach-Wernges,Germany,,EDFT,50.683334350585940,9.410833358764648,1211,1,E,\N,airport,OurAirports
11721,Aschaffenburg Airport,Aschaffenburg,Germany,,EDFC,49.938888549804690,9.063888549804688,410,1,E,\N,airport,OurAirports
11735,Reichelsheim Airport,Reichelsheim,Germany,,EDFB,50.335834503173830,8.878055572509766,397,1,E,\N,airport,OurAirports
11737,Marburg-Schönstadt Airport,Schoenstadt,Germany,,EDFN,50.874443054199220,8.814999580383300,833,1,E,\N,airport,OurAirports
11738,Lauenbrück Airport,Lauenbrueck,Germany,,EDHU,53.207500457763670,9.573332786560059,98,1,E,\N,airport,OurAirports
11739,Hüttenbusch Airport,Huettenbusch,Germany,,EDXU,53.286666870117190,8.947221755981445,10,1,E,\N,airport,OurAirports
