id,nom,adresse
1,SAÉ IUT Saint-Dié des Vosges,1
2,Jardins de Cocagne Thaon les Vosges,77
3,Oasis Jardin de Cocagne,84
4,Le Jardin de Cocagne de la Haute Borne,85
5,Les Jardins de Cocagne en Limousin,86
