id,editeur,identification
1,Casterman,BE0466745984
2,Dargaud,FR44542092788
3,Dupuis,BE0429160563
4,Glénat,FR13302069414
5,Le Lombard,BE0403501390
6,Delcourt,FR63334898822
7,Soleil Productions,FR63334898822
8,Vents d'Ouest,FR13302069414
