id,serie
1,Les Aventures de Tintin
2,Lucky Luke
3,Achille Talon
4,Spirou et Fantasio
5,Alix
6,Asterix
7,Chick Bill
8,Iznogoud
9,Valentin le vagabond
10,Yoko Tsuno
11,Léonard
12,Les tuniques bleues
13,Robin Dubois
14,Kid Lucky
15,Cotton Kid
16,Natacha
17,Marsupilami
18,Rantanplan
