id,name
1,René Goscinny
2,Albert Uderzo
3,Hergé
4,Greg
5,André Franquin
6,Jacques Martin 
7,Yann
8,Fabien Vehlmann
9,Raoul Cauvin
10,Tome  
11,Jean-Claude Fournier
12,Jean Léturgie 
13,Conrad
