code,num4217,nom,format,change,date,creation,disparition,division,minor
KWD,414,Dinar du Koweit,#,0.37985,,,,10 dirhams-1000 fils,
KYD,136,Dollar des îles Cayman,$#,###.##,1.07287,,,,,
KZT,398,Tengué du Kazakhstan,#,169.44900,,,,100 tyine,
LAK,418,Kip du Laos,#,10202.60000,,,,100 at,
LBP,422,Livre libanaise,#,1970.14000,,,,100 piastres,
LKR,144,Roupie sri-lankaise,#,128.42600,,,,,
LRD,430,Dollar du Liberia,#,71.69250,,,,100 cents,
LSL,426,Ioti du Lesotho,#,7.76672,,,,100 lisente,
LTL,440,Litas lituanien,#,3.45280,,,,,
LUF,442,Franc luxembourgeois,#,40.33990,1998-12-31,,1998-12-31,100 centimes,
LVL,428,Lats letton,#,0.69610,,,,100 santimes,
LYD,434,Dinar de Lybie,#,1.69084,,,,1000 dirhams,
MAD,504,Dirham marocain,#,11.30020,2011-08-14,,,100 centimes,
MDL,498,Leu moldave,#,16.33220,,,,100 bani,
MGA,969,Ariary,#,0.00000,,,,,
MGF,450,Franc malgache,#,12763.70000,,,,,
MKD,807,Denar,#,61.40010,,,,,
MMK,104,Kyat,#,8.35146,,,,,
MNT,496,Togrog mongol,#,1579.88000,,,,100 mongo,
MOP,446,Pataca de Macao,#,10.44750,,,,100 avos,
MRO,478,Ouguiya mauritanien,#,338.00000,,,,5 khoums,
MTL,470,Livre maltaise,#,0.43070,,,,100 cents / 1000 mils,
MUR,480,Roupie mauricienne,#,37.04820,,,,,
MVR,462,Rufiyaa des iles Maldives,#,16.65090,,,,100 leris,
MWK,454,Kwacha du Malawi,#,140.49200,,,,,
MXN,484,Peso mexicain,#,17.76290,2011-08-14,,,100 centavos,
MXV,979,Mexican unidad de inversion,#,0.00000,,,,,
MYR,458,Ringgit,#,4.94323,,,,,
MZM,508,Metical,#,24137.30000,,,,,
NAD,516,Dollar de Namibie,#,7.80595,,,,,
NGN,566,Naira,#,171.71200,,,,,
NIO,558,Cordoba du Nicaragua,#,21.04780,,,,100 centavos,
NLG,528,Florin néerlandais,f #.###,##,2.20371,1998-12-31,,1998-12-31,100 cents,
