code,hierarchie,region,francais,administration,capitale
208,dk,001.150.154.158.DK,Danemark,,pays,Copenhagen
dk-81,001.150.154.158.DK.81,Nordjylland,,2,Aalborg
dk-82,001.150.154.158.DK.82,Midtjylland,,2,Viborg
dk-83,001.150.154.158.DK.83,Syddanmark,,2,Ribe
dk-84,001.150.154.158.DK.84,Hovedstaden,,2,Copenhagen
dk-85,001.150.154.158.DK.85,Sjælland,Seeland,2,Sorø
234,fo,001.150.154.FO,Îles Féroé,,pays constitutif du royaume du Danemark,Tórshavn
304,gl,001.019.021.GL,Kalaallit Nunaat,Groenland,pays constitutif du royaume du Danemark,Nuuk
