code,hierarchie,region,francais,administration,capitale
LT-46,T.EUR.EUN.BLT.LT.LT-KL.LT-46,Šilutė,,district municipality,
LT-47,T.EUR.EUN.BLT.LT.LT-VL.LT-47,Širvintos,,district municipality,Širvintos
LT-48,T.EUR.EUN.BLT.LT.LT-KL.LT-48,Skuodas,,district municipality,Skuodas
LT-49,T.EUR.EUN.BLT.LT.LT-VL.LT-49,Švenčionys,,district municipality,
LT-50,T.EUR.EUN.BLT.LT.LT-TA.LT-50,Tauragė,,district municipality,Taurage
LT-51,T.EUR.EUN.BLT.LT.LT-TE.LT-51,Telšiai,,district municipality,Telsiai
LT-52,T.EUR.EUN.BLT.LT.LT-VL.LT-52,Trakai,,district municipality,
LT-53,T.EUR.EUN.BLT.LT.LT-VL.LT-53,Ukmergė,,district municipality,
LT-54,T.EUR.EUN.BLT.LT.LT-UT.LT-54,Utena,,district municipality,Utena
LT-55,T.EUR.EUN.BLT.LT.LT-AL.LT-55,Varėna,,district municipality,Varėna
LT-56,T.EUR.EUN.BLT.LT.LT-MR.LT-56,Vilkaviškis,,district municipality,Vilkaviskis
LT-57,T.EUR.EUN.BLT.LT.LT-VL.LT-57,Vilniaus miestas,,city municipality,Vilnius
LT-58,T.EUR.EUN.BLT.LT.LT-VL.LT-58,Vilnius,,district municipality,Vilnius
LT-59,T.EUR.EUN.BLT.LT.LT-UT.LT-59,Visaginas,,municipality,Visaginas
LT-60,T.EUR.EUN.BLT.LT.LT-UT.LT-60,Zarasai,,district municipality,Zarasai
