"edition_id","editeur_id","isbn13","publication_date","num_pages","num_catalogue","langue_code","titre"
152,876,"9780060085490",2002-07-30,354,,eng,
153,895,"9780060086206",2002-06-04,288,,eng,
154,895,"9780060086213",2003-03-25,288,,eng,
155,889,"9780060086244",2003-05-27,528,,en-US,
156,907,"9780060086633",2004-06-29,498,,eng,
157,873,"9780060088743",2006-06-13,333,,eng,
158,2210,"9780060090371",2007-01-23,640,,en-US,
159,2210,"9780060090388",2007-01-23,578,,eng,
160,160,"9780060092573",2002-11-05,266,,eng,
161,803,"9780060092726",2005-08-30,337,,en-US,
162,907,"9780060093563",2003-11-25,360,,eng,
163,877,"9780060093747",2003-04-01,176,,eng,
164,907,"9780060094416",2005-07-26,405,,eng,
165,907,"9780060094423",2006-10-31,432,,eng,
166,882,"9780060094935",2003-09-30,502,,eng,
167,882,"9780060094966",2004-04-01,261,,eng,
168,2204,"9780060095277",2002-04-30,352,,eng,
169,2210,"9780060096687",2004-08-03,400,,eng,
170,340,"9780060098919",2002-10-01,6,,eng,
171,803,"9780060099459",2002-10-01,64,,eng,
172,864,"9780060166496",1991-11-26,720,,eng,
173,864,"9780060175641",1998-04-21,176,,eng,
174,889,"9780060183073",1992-01-01,407,,eng,
175,864,"9780060184124",2006-06-27,480,,eng,
176,864,"9780060192303",2001-08-21,288,,eng,
177,889,"9780060192501",1998-11-01,198,,en-US,
178,864,"9780060192778",1998-10-21,368,,en-US,
179,890,"9780060193393",1999-06-10,201,,en-US,
180,864,"9780060194918",1999-10-06,399,,eng,
181,889,"9780060225353",1992-12-31,64,,eng,
182,882,"9780060244163",1994-11-09,128,,eng,
183,882,"9780060245603",2007-07-31,40,,en-US,
184,882,"9780060248123",1995-06-15,392,,eng,
185,882,"9780060254926",2012-12-26,40,,eng,
186,889,"9780060255084",1989-01-01,216,,eng,
187,882,"9780060256579",2006-01-24,104,,eng,
188,882,"9780060256715",2006-01-24,112,,eng,
189,882,"9780060256753",2013-09-24,112,,eng,
190,889,"9780060263195",1980-01-01,62,,eng,
191,695,"9780060277406",1999-03-19,128,,eng,
192,882,"9780060278427",1998-10-13,80,,eng,
193,543,"9780060392888",2001-05-22,430,,eng,
194,907,"9780060502959",2003-11-25,400,,eng,
195,873,"9780060504083",2003-04-15,264,,eng,
196,880,"9780060506049",2002-11-26,272,,eng,
197,907,"9780060506988",2002-02-05,535,,eng,
198,873,"9780060507275",2003-04-01,272,,en-US,
199,873,"9780060507404",2002-09-03,288,,en-US,
200,880,"9780060507770",2002-08-20,176,,eng,
201,911,"9780060509057",2002-11-05,400,,eng,
