https://www.lamontagne.fr/paris-75000/actualites/quel-est-le-top-50-des-noms-de-rues-de-votre-departement_14507989/
https://www.jesuismort.com/cimetiere/femme
Poupée qui tousse
Canard boiteux
Cheval borgne
Lendemains qui chantent
Cité joyeuse
Presbytère
Prison
Rue de l'Eglise
Grande Rue
Rue du Moulin
Rue de la Gare
Rue de la Mairie
Place de l'Eglise
Rue Haute
Rue du Château
Rue du Paquis
Rue des Jardins
Rue de la Chapelle
Rue de la Fontaine
Place de la Mairie
Rue d'Alsace
Rue de l'Ecole
Chemin du Moulin
Rue de Lorraine
Rue des Ecoles
Rue du Centre
Rue du Faubourg
Le Village
Rue du Lavoir
Rue du Stade
Rue de la Forêt
Le Moulin
Rue Jules Ferry
Rue des Vergers
Rue d'Epinal
Rue du Calvaire
Route d'Epinal
Rue du Breuil
Rue du Pont
Rue de la Libération
Place de l'étoile
Rue des Tilleuls
Route de Mirecourt
Rue de Verdun
Rue de l'Etang
Rue des Lilas
Grand Rue
Rue de la Croix
La Gare
Rue de la Creuse
Rue Jeanne d'Arc
Rue du Chêne
Rue des Bouleaux
Rue des Sources
Rue de la Prairie
Rue des Grands Jardins
Place de la Gare
rue du Mont
Jean Moulin
Marie Curie
Louis Pasteur
Henri Abraham
Jean-Édouard Adam
Émile Alluard
Joseph-Charles d'Almeida
Émile Hilaire Amagat
André-Marie Ampère
Jules Andrade
Alfred Angot
Louis Charles Antoine
François Arago
Henri Adolphe Archereau
Arsène d'Arsonval
Jacques Babinet
Adhémar Barré de Saint-Venant
Edmond Bauer
Edmond Becquerel
Antoine Becquerel
Henri Becquerel
Louis Alfred Becquerel
Jacques Étienne Bérard
Alphonse Berget
Ernest Bichat
François Bienvenu
Félix Billet
François Binet de Sainte-Preuve
Jean-Baptiste Biot
Pierre Bitôt
Léon Bloch
André Blondel
René Blondlot
Émile Boirac
Jean-Pierre Boisgiraud
Henri Bouasse
Jean-Gustave Bourbouze
Charles Guillaume Alexandre Bourgeois
Joseph Boussinesq
Edmond Bouty
Édouard Branly
Auguste Bravais
Abraham Breguet
Antoine Breguet
Louis Clément François Breguet
Marcel Brillouin
Charles Briot
André Broca
Bernard Brunhes
Charles Cagniard de Latour
Louis Paul Cailletet
Lazare Carnot
Sadi Carnot 
James Chappuis
Henri Chaumat
Nicolas Maurice Chompré
Émile Clapeyron
Gaspard-Gustave de Coriolis
Alfred Cornu
Aimé Cotton
Maurice Couette
Jean Couvreur
Victor Crémieu
Jacques Curie
Marie Curie
Pierre Curie
Charles Delezenne
Paul Desains
Charles-Bernard Desormes
César Despretz
Jean-Philibert Dessaignes
Raphaël Dongier
Émile Duclaux
Jean-Marie Duhamel
Pierre Louis Dulong
Théodose du Moncel
Jules-François Dupuis-Delcourt
Charles Fabry
Camille Alphonse Faure
Charles Féry
Hippolyte Fizeau
Léon Foucault
Joseph Fourier
Georges Foussereau
Augustin Fresnel
Georges Friedel
Adolphe Ganot
Louis Joseph Gay-Lussac
Sophie Germain
Pierre-Simon Girard
Louis Georges Gouy
Arnaud de Gramont
Auguste Guillemin
Paul Guiraudet
Jules Guyot
Charles de Haldat du Lys
Jean-Louis Hanin
Gustave Hermite
Paul Héroult
Jean-Louis-Alexandre Herrenschneider
Gustave-Adolphe Hirn
Anatole-François Hüe de Caligny
Pierre-Henri Hugoniot
Jules Jamin
Paul Janet 
Jules Joubert
Frédéric Kastner
Gabriel Lamé
Pierre-Simon de Laplace
Alexandre-Ferdinand Lapostolle
Frédéric Hervé de La Provostaye
Charles-Louis Largeteau
Anatole Leduc
Jules Lemoine
François-Pierre Le Roux
Pierre Lévêque 
Antoine Libes
Alfred-Marie Liénard
Roger Liouville
Gabriel Lippmann
Jules Antoine Lissajous
Jules Macé de Lepinay
Alcippe Mahistre
Sébastien de Maillard
Étienne Louis Malus
Hippolyte Marié-Davy
Éleuthère Mascart
Antoine Masson (physicien)
Émile Mathias
Georges Meslin
Joseph Mollet
Henri Navier
Abel Niépce de Saint-Victor
François Obéllianne
Louis Pasteur
Eugène Péclet
Henri Pellat
Théophile-Jules Pelouze
Jean-Charles Peltier
Alexis Thérèse Petit
Hippolyte Pixii
Gaston Planté
Henri Poincaré
Lucien Poincaré
Siméon Denis Poisson
Alfred Potier
Claude Pouillet
Denis-Bernard Quatremère d'Isjonval
François-Marie Raoult
Camille Raveau
Albert Recoura
Victor Regnault
Charles Ribière
Paul Robin
Ernest Roger
Georges Sagnac
Antoine Saugrain
Félix Savart
Henri Hureau de Sénarmont
Constantin Senlecq
Théodore Sidot
Jean Thiébault Silbermann
Georges Sire
Stanislas Sorel
René Swyngedauw
Charles-Henri Tabareau
Eugène Tassilly
Louis Thuillier
Camille Papin Tissot
Albert Turpain
Henri Vaquez
Émile Verdet
Lucien Vidie
Paul Villard
Jules Violle
François Walferdin
Étienne Wallon
Pierre Weiss 
Félix Worms de Romilly
Nicolas de Condorcet
Antoine Laurent Lavoisier
Joseph Cugnot
André Ampere
Georges-Louis Leclerc de Buffon
Philippe Pinel
Adolphe Thiers
Jean-françois Champollion
Jules Michelet
René Laennec
Joseph Fourier
Jean D'Alembert
Joseph Ignace Guillotin
Sadi Carnot
Pierre-Simon De Laplace
Mathieu François Maxence Audouard
Michel Paccard
Nicéphore Niepce
Claude louis Berthollet
Jacques Boucher De Perthes
Julien Offray De La Mettrie
Jean-Paul Marat
Jacques Charles
François Guizot
Marie François Xavier Bichat
Antoine Parmentier
Edme-Pierre Chauvot de Beauchêne
Adolphe Thiers 
André Ampere
Antoine Laurent Lavoisier
Antoine Parmentier 
Claude louis Berthollet
Edme-Pierre Chauvot de Beauchêne
François Guizot
Georges-Louis Leclerc de Buffon
Jacques Boucher De Perthes
Jacques Charles
Jean D'Alembert
Jean-françois Champollion 
Jean-Paul Marat 
Joseph Cugnot 
Joseph Fourier
Joseph Ignace Guillotin
Jules Michelet
Julien Offray De La Mettrie
Marie François Xavier Bichat
Mathieu François Maxence Audouard
Michel Paccard
Nicéphore Niepce 
Nicolas de Condorcet
Philippe Pinel
Pierre-Simon De Laplace
René Laennec
Sadi Carnot
Coco Chanel
Frida Boccara
Agatha Christie
Joséphine Baker
Mata Hari
Louise-Jeanne Mac Leod
Sylvia Kristel
Pate d'oie
Queue de cochon
Darou
Joncs
Loup Solitaire
Hérisson
Chouette
Madeleine Riffaud
Gisèle Halimi
Germaine Tillion
Lucie Aubrac
Berty Albrecht
Geneviève de Gaulle-Anthonioz
Mélinée Manouchian
Simonne Mathieu
Rose Valland
Marcelle Henry
Catherine Dior
Simone Michel-Levy
Myrtle Cagle
Claudie Haigneré
Vera Menchik
Judit Polgár
CHARLOTTE COOPER 
NAWAL EL-MOUTAWAKEL
MARIE-JOSÉE PÉREC
Mahsa Jina Amini
Rhobi Pristiana Samwelly
Nuray Simsek
Anarkali Honaryar
