code,categorie,
BB,Bébé,
EA,Éveil,
PO,Poussin,
BE,Benjamin,
MI,Minime,
CA,Cadet,
JU,Junior,
ESH,Espoir Hommme,
ESF,Espoir Femme,
SEH,Senior Homme,
SEF,Senior Femme,
M0H,Master,
M0F,Master,
M1H,Master,
M1F,Master,
M2H,Master,
M2F,Master,
M3H,Master,
M3F,Master,
M4H,Master,
M4F,Master,
M5H,Master,
M5F,Master,
M6H,Master,
M6F,Master,
