oeuvre_id,titre,langue_code,genre_id,infos
120,The Presocratics,en-US,,
121,The Aeneid (Verse Translation),en-US,,
122,Philosophical Investigations,eng,,
123,The MacMillan Bible Atlas,en-US,,
124,Spandau: The Secret Diaries,eng,,
125,Complete Idiot's Guide to The Beatles,eng,,
126,Tyranny of the Majority: Fundamental Fairness in Representative Democracy,eng,,
127,The Origins of the Civil Rights Movements: Black Communities Organizing for Change,en-US,,
128,Presidential Power and the Modern Presidents: The Politics of Leadership from Roosevelt to Reagan,eng,,
129,Rest Rabbit Rest (Sweet Pickles),eng,,"{""tome"":""18""}"
130,Where the Red Fern Grows with Connections,eng,,
131,The Silmarillion,eng,,
132,Poppy's Return,eng,,
133,Her Highness  My Wife (Effingtons),eng,,"{""tome"":""5""}"
134,Love With the Proper Husband (Effingtons),eng,,"{""tome"":""6""}"
135,Diary of a Spider,en-US,,
136,With Her Last Breath,en-US,,
137,On a Wicked Dawn (Cynster),eng,,"{""tome"":""9""}"
138,The Lady Chosen (Bastion Club),eng,,"{""tome"":""1""}"
139,An Old-Fashioned Thanksgiving,eng,,
140,The Paradox of Choice: Why More Is Less,eng,,
141,How to Read Literature Like a Professor,eng,,
142,American Gods,eng,,
143,Animal Liberation,eng,,
144,The Amazing Maurice and His Educated Rodents (Discworld),eng,,"{""tome"":""28""}"
145,Going Postal (Discworld #33),en-US,,
146,Kids Are Worth It!: Giving Your Child the Gift of Inner Discipline,en-US,,
147,After,eng,,
148,Mary Engelbreit's Mother Goose: One Hundred Best-Loved Verses,en-US,,
149,The Modern Mind: An Intellectual History of the 20th Century,eng,,
150,Sharpe's Prey (Sharpe),eng,,"{""tome"":""5""}"
151,She Went All the Way,eng,,
152,Island,eng,,
153,Planet of the Apes: The Fall,eng,878,
154,Planet of the Apes: Colony,eng,878,
155,Last Chance Saloon,en-US,,
156,Barracuda 945 (Admiral Arnold Morgan),eng,,"{""tome"":""6""}"
157,A Year in the Life of William Shakespeare: 1599,eng,,
158,Lucy Sullivan Is Getting Married,en-US,,
159,Rachel's Holiday (Walsh Family),eng,,"{""tome"":""2""}"
160,The Terminal Man,eng,,
161,Criss Cross,en-US,,
162,Madam  Will You Talk?,eng,,
163,The Art of the Novel,eng,,
164,Satan's Tail (Dreamland),eng,,"{""tome"":""7""}"
165,End Game (Dreamland),eng,,"{""tome"":""8""}"
166,The Bromeliad Trilogy (Omnibus: Truckers / Diggers / Wings),eng,,
167,Truckers (Bromeliad Trilogy),eng,,"{""tome"":""1""}"
168,Fire Lover: A True Story,eng,,
169,Behaving Like Adults,eng,,
170,The Great Gatsby,eng,,
171,Merry Christmas  Amelia Bedelia,eng,,
172,Back to Barbary Lane: The Tales of the City Omnibus (Tales of the City #4-6),eng,,
173,Identity,eng,,
174,The Third Chimpanzee: The Evolution & Future of the Human Animal,eng,,
175,The Senator and the Socialite: The True Story of America's First Black Dynasty,eng,,
176,There's a Spiritual Solution to Every Problem,eng,,
177,The Illustrated Alchemist: A Fable about Following Your Dream,en-US,,
178,Mars and Venus Book of Days: 365 Inspriations to Enrich Your Relationships,en-US,,
179,Body For Life: 12 Weeks to Mental and Physical Strength,en-US,,
180,Daughter of Fortune,eng,,
181,Stanley,eng,,
182,Betsy-Tacy and Tib (Betsy-Tacy),eng,,"{""tome"":""2""}"
183,Today I Feel Silly  Other Moods That Make My Day,en-US,,
184,Mrs. Piggle-Wiggle Treasury (Mrs. Piggle Wiggle #1-2),eng,,"{""tome"":""4""}"
185,Where the Wild Things Are,eng,,
186,We Were Not Like Other People,eng,,
187,The Missing Piece Meets the Big O,eng,,
188,The Missing Piece (The Missing Piece),eng,,"{""tome"":""1""}"
189,Lafcadio  the Lion Who Shot Back,eng,,
190,Sun  Moon  Star,eng,,
191,The Secret Garden Cookbook: Recipes Inspired by Frances Hodgson Burnett's The Secret Garden,eng,,
192,Laura's Album: A Remembrance Scrapbook of Laura Ingalls Wilder,eng,,
193,The Dirt: Confessions of the World's Most Notorious Rock Band,eng,,
194,The Moonspinners,eng,,
195,Small Wonder,eng,,
196,Worlds Enough & Time: Five Tales of Speculative Fiction,eng,,
197,We Were Soldiers Once ... and Young (Ia Drang - the Battle That Changed the War in Vietnam),eng,,
198,Household Saints,en-US,,
199,The Cheese Monkeys,en-US,,
200,The Last Hero (Discworld #27; Rincewind),eng,,"{""tome"":""7""}"
201,Travels,eng,,
202,Caesar (Masters of Rome),eng,,"{""tome"":""5""}"
203,The Forever War (The Forever War),eng,,"{""tome"":""1""}"
204,Amelia Bedelia Goes Camping,eng,,
205,The Secret Sister,eng,,
206,Amelia Bedelia Helps Out,eng,,
207,Whirlpool,eng,,
208,Teach Us  Amelia Bedelia,eng,,
209,The Beauty Myth,eng,,
210,Cryptonomicon,eng,,
211,A Light in the Attic,eng,,
212,Fragile Things: Short Fictions and Wonders,eng,,
213,What Went Wrong? The Clash Between Islam & Modernity in the Middle East,eng,,
214,The Lady in Question (Effingtons),eng,,"{""tome"":""7""}"
215,The Hand of Dinotopia,eng,,
216,Letters from the Earth: Uncensored Writings,eng,,
217,Savannah Blues (Weezie and Bebe Mysteries #1),en-US,,
218,Touching Darkness (Midnighters),eng,,"{""tome"":""2""}"
219,Blue Noon (Midnighters),eng,,"{""tome"":""3""}"
220,Tête-à-Tête: Simone de Beauvoir and Jean-Paul Sartre,eng,,
221,The Whipping Boy,eng,,
222,The Innovator's Dilemma: The Revolutionary Book that Will Change the Way You Do Business,eng,,
223,Ohio Class (Silent Service),eng,,"{""tome"":""5""}"
224,A Nose for Murder (Jack and Jamie),eng,,"{""tome"":""1""}"
225,Murder Unleashed (Jack and Jamie),eng,,"{""tome"":""2""}"
226,To Collar a Killer (Jack and Jamie),eng,,"{""tome"":""3""}"
227,Happiness,eng,,
228,Size 12 Is Not Fat (Heather Wells),eng,,"{""tome"":""1""}"
229,Size 14 Is Not Fat Either (Heather Wells),eng,,"{""tome"":""2""}"
230,Warrior of the Light,en-US,,
231,The Devil and Miss Prym (On the Seventh Day),eng,,"{""tome"":""3""}"
232,The Wapshot Chronicle,eng,,
233,The Big Bing: Black Holes of Time Management  Gaseous Executive Bodies  Exploding Careers  and Other Theories on the Origins of the Business Universe,en-US,,
234,Sharpe's Fury (Sharpe),eng,,"{""tome"":""11""}"
235,The Lion  the Witch and the Wardrobe,en-US,,
236,Kisscut (Grant County),eng,,"{""tome"":""2""}"
237,A Faint Cold Fear (Grant County),eng,,"{""tome"":""3""}"
238,City of the Beasts (Eagle and Jaguar),eng,,"{""tome"":""1""}"
239,Walt Whitman: A Life,eng,,
240,Brave New World and Brave New World Revisited,eng,,
241,How to Make Love Like a Porn Star: A Cautionary Tale,eng,,
242,Rough Crossings: Britain  the Slaves and the American Revolution,eng,,
243,The Outsider,en-US,,
244,Burning Chrome (Sprawl #0),eng,,
245,Dead Wrong (Joanna Brady),eng,,"{""tome"":""12""}"
246,1421: The Year China Discovered America,eng,,
247,13 Little Blue Envelopes (Little Blue Envelope #1),eng,,
248,The Andromeda Strain (Andromeda),eng,,"{""tome"":""1""}"
249,Congo,eng,,
250,Only You Can Save Mankind (Johnny Maxwell),eng,,"{""tome"":""1""}"
251,Amelia Bedelia 50th Anniversary Library: Amelia Bedelia  Amelia Bedelia and the Surprise Shower  and Play Ball  Amelia Bedelia,eng,,
252,Lizabeth's Story (The Girls of Lighthouse Lane),eng,,"{""tome"":""3""}"
253,Amanda's Story (The Girls of Lighthouse Lane),eng,,"{""tome"":""4""}"
254,Bradbury Stories: 100 of His Most Celebrated Tales,eng,,
255,With No One as Witness (Inspector Lynley),eng,,"{""tome"":""13""}"
256,What Came Before He Shot Her (Inspector Lynley),eng,,"{""tome"":""14""}"
257,My Invented Country: A Nostalgic Journey Through Chile,en-US,,
258,The Bradbury Chronicles: The Life of Ray Bradbury,en-US,,
259,Three Rotten Eggs (The Hamlet Chronicles),eng,,"{""tome"":""5""}"
260,The Wicked Day (Arthurian Saga),eng,,"{""tome"":""4""}"
261,The Game: Penetrating the Secret Society of Pickup Artists,en-US,,
262,The Lion  the Witch and the Wardrobe (Chronicles of Narnia),eng,,"{""tome"":""1""}"
263,Gold: The Final Science Fiction Collection,eng,,
264,The Red Queen: Sex and the Evolution of Human Nature,eng,,
265,All Aunt Hagar's Children: Stories,en-US,,
266,Neverwhere (London Below),eng,,"{""tome"":""1""}"
267,Gentlemen and Players,eng,,
268,The Prince Kidnaps a Bride (Lost Princesses),eng,,"{""tome"":""3""}"
269,Nimitz Class (Admiral Arnold Morgan),eng,,"{""tome"":""1""}"
270,The Kindness of Strangers,en-US,,
271,These Happy Golden Years (Little House),eng,,"{""tome"":""8""}"
272,The First Four Years (Little House),eng,,"{""tome"":""9""}"
273,Built to Last: Successful Habits of Visionary Companies,eng,,
274,Fluke: Or  I Know Why the Winged Whale Sings,eng,,
275,Lord of Light,eng,,
276,The Perennial Philosophy,eng,,
277,A Crack in the Edge of the World,eng,,
278,Truth and Beauty,eng,,
279,Where the Sidewalk Ends: Poems and Drawings,eng,,
280,Dead Witch Walking (The Hollows #1),en-US,,
281,The Good  the Bad  and the Undead (The Hollows),eng,,"{""tome"":""2""}"
282,Every Which Way But Dead (The Hollows),eng,,"{""tome"":""3""}"
283,Men Are from Mars  Women Are from Venus,eng,,
