"id","nom","code","adresse_id"
1,BNP Paribas,BNPAFRPPEPL,1101
2,Boursorama,BOUSFRPPBDF,1102
3,Caisse d'Épargne,CEPAFRPP513,1103
4,Crédit Agricole,AGRIFRPP861,1104
5,LCL,CRLYFRPPRMA,1105
6,HSBC Continental Europe,CCFRFRPP310,1106
7,Société Générale,SOGEFRPPSTD,1107
8,La Banque Postale Centre Financier de Nancy,PSSTFRPPNCY,1108
9,Banque Populaire Alsace Lorraine Champagne,CCBPFRPPMTZ,1109
10,Crédit Mutuel Strasbourg,CMCIFR2ACEE,1110
